3592,"I-80, EXIT 30 & CR-202",Fort Bridger,WY,
3593,"I-15, EXIT 78",Parowan,UT,
3605,"I-35, EXIT 33",Saint Joseph,MO,
3608,"I-57, EXIT 212 & US-36",Tuscola,IL,
3614,"I-80/90, EXIT 72 & US-31",South Bend,IN,
3616,"I-75, EXIT 210",Toledo,OH,
3619,"I-70, EXIT 23",Brazil,IN,
3620,"I-71 & US-68, EXIT 50",Wilmington,OH,
3645,"I-80, EXIT 147 & SR-144",Snow Shoe,PA,
3678,US-281 BUS,Alice,TX,
3688,"I-94, EXIT 243 & SR-29",New Baltimore,MI,
3692,"I-77,  EXIT 16B",Charlotte,NC,
3699,"I-69, EXIT 278 & SR-5",Warren,IN,
3702,ST 37 11 MI E OF MASSENA,Hogansburg,NY,
3707,"I-90, EXIT 154",Albert Lea,MN,
3718,"I-90, EXIT 265",Chamberlain,SD,
3719,US-22 & SR-164,Loretto,PA,
3725,"I-79, EXIT 35/141",Cochranton,PA,
3728,"I-787, EXIT 2",Albany,NY,
3737,US-49,West Helena,AR,
3745,"I-90, EXIT 408 & SR-78",Columbus,MT,
3759,US-67 & SR-18,Newport,AR,
3767,"I-95, EXIT 8 & US-301",Emporia,VA,
3772,"I-25, EXIT 240",Burlington,CO,
3774,"I-70, EXIT 438",Burlington,CO,
3781,"I-76, EXIT 149 & SR-55/CR-81",Crook,CO,
3783,"I-25, EXIT 215",Denver,CO,
3794,"I-90, EXIT 73",Jackson,MN,
3817,"I-25, EXIT 158",Colorado Springs,CO,
3843,"I-35, EXIT 185 & US-77",Perry,OK,
3868,US-13,Greenwood,DE,
3888,"I-90, EXIT 184",Deer Lodge,MT,
3889,"I-75, EXIT 220",Bradenton,FL,
3907,US-46 & SR-93,Palisades Park,NJ,
3908,"I-75, EXIT 354",Fort Lauderdale,FL,
3927,"I-75, EXIT 49 & SR-84",Fort Lauderdale,FL,
3936,"I-40, EXIT 239 & US-70/SR-26",Lebanon,TN,
3946,US-24 & US-63,Moberly,MO,
3949,"I-10/SR-8, EXIT 303 & US-441",Lake City,FL,
3956,US-27/SR-25 & SR-70,Lake Placid,FL,
3964,"I-94, EXIT 66",Mattawan,MI,
3970,"I-30, EXIT 61",Garland,TX,
3973,"I-35 & I-44, EXIT 137",Oklahoma City,OK,
3974,I-40 EXIT 41,Elk City,OK,
3975,"I-10, EXIT 335 & SR-121",Macclenny,FL,
3979,"I-80 & I-94, EXIT 9",Gary,IN,
4006,US-167 & SR-7,El Dorado,AR,
4008,"I-94, EXIT 19 & US HWY 63",Baldwin,WI,
4025,"I-85, EXIT 21  & US-178",Anderson,SC,
4035,"I-40,  EXIT 84",Russellville,AR,
4062,US-220,Rocky Mount,VA,
4063,"I-59, EXIT 67 & US-49",Hattiesburg,MS,
4080,US-41,Miami,FL,
4101,HIGHWAY 69 & COBBLESTONE DR,Pryor,OK,
4113,US-412/SR-15,Enid,OK,
4115,"I-85 , EXIT 96",Atlanta,GA,
4119,US-441 & CR-13,Douglas,GA,
4156,"I-10, EXIT 582",San Antonio,TX,
4161,I-95 & EXIT 76,Midway,GA,
4164,"I-75, EXIT 138",Thomasville,GA,
4169,"I-40, EXIT 48 & US-93",Kingman,AZ,
4171,US-2 & US-71,Bemidji,MN,
4172,"I-90, EXIT 2",Post Falls,ID,
4179,"I-95/SR-405, EXIT 109 & SR-30/SR-21",Port Wentworth,GA,
4187,"I-75, EXIT 320",Resaca,GA,
